combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,signal_stack_spread_pct__max,signal_sma20_return_5__min,peak_high_to_sma120_pct__max
1,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.0, peak_high_to_sma120_pct__max=0.3",ok,0.3194444444444444,92,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04466358767595047,2.576408009944262,-2.5317444222683116,0.007367753844503611,0.006865926043382807,1.0726030603667749,1.047720718709806,0.008300276141258056,0.8876516538866495,0.17133333333333334,0.6726666666666666,2.3077894643287897,122,1327.38832405,-1.0678226484261364,61,61,61,0,1.0,0.5081967213114754,0.039689858496247725,0.005219333332474741,2.460236166951531,20000.0,0.1,0.0,0.3
0,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.0, peak_high_to_sma120_pct__max=0.22",ok,0.3125,90,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.043028619471675356,2.576408009944262,-2.5333793904725868,0.007102712812518508,0.0066692468501511485,1.0645786750798591,1.0527656921476674,0.008289772651591143,0.8568042950074403,0.17133333333333334,0.664,2.241831762350385,118,1289.764028325,-1.0684016391797284,59,59,59,0,1.0,0.5084745762711864,0.038868965006324696,0.005219333332474741,2.468724116603135,20000.0,0.1,0.0,0.22
3,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.02, peak_high_to_sma120_pct__max=0.3",ok,0.2361111111111111,68,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.03772000376866491,2.576408009944262,-2.5386880061755974,0.006239755082812604,0.006013733742043454,1.0373791350474493,0.9197691411465535,0.007139848187118436,0.8739338595560391,0.14533333333333334,0.49733333333333335,1.6725769768538474,88,964.968731335,-1.0717070785900862,44,44,44,0,1.0,0.5454545454545454,0.04538941177338602,0.052929156350882335,2.64585896879056,20000.0,0.1,0.02,0.3
2,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.02, peak_high_to_sma120_pct__max=0.22",ok,0.22916666666666666,66,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.0360850355643898,2.576408009944262,-2.5403229743798725,0.005973238213003329,0.005804943716430748,1.0288441985227934,0.9328698835872037,0.007130814519058726,0.8376656267020394,0.14466666666666667,0.4886666666666667,1.6071631517349676,84,927.3444356099999,-1.0722903888477786,42,42,42,0,1.0,0.5476190476190477,0.04450765916978645,0.052929156350882335,2.668427345715036,20000.0,0.1,0.02,0.22
8,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.02, peak_high_to_sma120_pct__max=0.22",ok,0.3125,90,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.045536509460454955,2.576408009944262,-2.530871500483807,0.007509119947693987,0.007698460508789323,0.9756252457524682,0.8464620842528069,0.010235567661312173,0.7336300434099556,0.19266666666666668,0.7106666666666667,2.1334311818526963,112,1231.064039545,-1.0679057551600442,56,56,56,0,1.0,0.5535714285714286,0.04193541214194274,0.053309842618679264,2.421131601812081,20000.0,0.12,0.02,0.22
9,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.02, peak_high_to_sma120_pct__max=0.3",ok,0.3472222222222222,100,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.046283758749635195,2.576408009944262,-2.5301242511946267,0.0076300559169633075,0.008193697241260975,0.9317865957834998,0.8181533461560907,0.015099332725598269,0.5053240468055841,0.2,0.7453333333333333,2.374894616556087,126,1369.936750365,-1.0682330304767484,63,63,63,0,1.0,0.5238095238095238,0.03800276133533948,0.04424606994980394,2.1907071041832493,20000.0,0.12,0.02,0.3
10,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.03, peak_high_to_sma120_pct__max=0.22",ok,0.18055555555555555,52,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.03616410048493024,2.576408009944262,-2.540243909459332,0.005986134668396925,0.006639022973759948,0.9023015856517699,0.7272519970159859,0.010235567661312173,0.584836607648346,0.17666666666666667,0.49533333333333335,1.2620433476879098,66,731.6655150699999,-1.073931653885841,33,33,33,0,1.0,0.6363636363636364,0.0556238797140526,0.09674333717411776,2.8064092135185468,20000.0,0.12,0.03,0.22
5,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.03, peak_high_to_sma120_pct__max=0.3",ok,0.13194444444444445,38,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.02635651960702501,2.576408009944262,-2.5500514903372373,0.004380113570715771,0.004920358848790141,0.8907253533960241,0.7307761914399242,0.005272131490963172,0.830805069680757,0.12466666666666666,0.316,0.9486241266823261,50,548.8568929749999,-1.0794887300761935,25,25,25,0,1.0,0.6,0.055558817452894926,0.09461542181742731,2.8253018915150276,20000.0,0.1,0.03,0.3
6,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.0, peak_high_to_sma120_pct__max=0.22",ok,0.4166666666666667,120,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04665708329353069,2.576408009944262,-2.529750926650731,0.007690448415844209,0.008705915905618006,0.8843454872523202,0.8644348588142545,0.01148338600678267,0.669702160260209,0.22733333333333333,0.9453333333333334,3.0063875771147615,158,1720.13870647,-1.0688511743139995,79,79,79,0,1.0,0.4810126582278481,0.03133483750606467,-0.008285413334420984,2.02466777363918,20000.0,0.12,0.0,0.22
4,"signal_stack_spread_pct__max=0.1, signal_sma20_return_5__min=0.03, peak_high_to_sma120_pct__max=0.22",ok,0.125,36,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.02472155140275012,2.576408009944262,-2.551686458541512,0.00411114196466289,0.004653072240477491,0.8840546241860673,0.7663835457687159,0.0048524155908209465,0.8472361626320128,0.12333333333333334,0.30733333333333335,0.8837772722443333,46,511.23259724999997,-1.0800837039958855,23,23,23,0,1.0,0.6086956521739131,0.05483295667062689,0.09461542181742731,2.8800249591769593,20000.0,0.1,0.03,0.22
11,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.03, peak_high_to_sma120_pct__max=0.3",ok,0.2152777777777778,62,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.03691134977411026,2.576408009944262,-2.539496660170152,0.00610797974704802,0.0071362617487608845,0.856882881628258,0.701143096653641,0.015099332725598269,0.40451984587987866,0.18533333333333332,0.53,1.5012725101625757,80,870.5382258899999,-1.0742653461020735,40,40,40,0,1.0,0.575,0.04703447286853324,0.09405876349766412,2.3748129366055486,20000.0,0.12,0.03,0.3
7,"signal_stack_spread_pct__max=0.12, signal_sma20_return_5__min=0.0, peak_high_to_sma120_pct__max=0.3",ok,0.4513888888888889,130,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.047404332582710706,2.576408009944262,-2.529003677361551,0.007811276689264179,0.009162599857000598,0.853798992815517,0.8453444610561595,0.01634930977525606,0.47777409545974797,0.23333333333333334,0.98,3.2513710104638065,172,1859.01141729,-1.0691875853024795,86,86,86,0,1.0,0.46511627906976744,0.02931677961810119,-0.014929789953657159,1.9053150044200438,20000.0,0.12,0.0,0.3
-1,baseline,ok,1.0,288,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06641105713234108,2.576408009944262,-2.509996952811921,0.010860762725673823,0.016698985684699526,0.6552355504311164,0.829632902645451,0.024772375011200554,0.43842234427515525,0.3426666666666667,2.176,6.9154095056379,379,4007.21386766,-1.0711978036705174,196,191,188,3,0.9744897959183674,0.4095744680851064,0.017798688441843697,-0.030789792564730967,1.4374542364369949,20000.0,,,
